sex	race	happy	childs	age
2	1	1	2	61
2	1	2	1	32
1	1	1	1	35
2	1	9	0	26
2	2	2	0	25
1	2	2	5	59
1	2	1	3	46
2	2	2	4	99
2	2	2	3	57
2	1	2	2	64
1	1	2	0	72
2	1	1	5	67
1	1	2	0	33
1	3	2	1	23
2	1	2	1	33
2	1	1	2	59
1	1	2	1	60
1	1	1	2	77
2	2	2	2	52
1	2	1	1	55
2	2	1	1	37
2	3	2	0	45
2	2	3	0	34
2	2	3	3	35
2	2	2	1	35
1	2	3	0	47
2	2	3	3	24
2	2	2	0	28
1	1	1	2	57
1	3	1	2	44
2	1	2	1	75
2	1	2	3	58
1	1	2	1	49
1	1	1	0	22
2	1	1	3	44
1	1	2	2	48
2	1	3	2	23
1	1	1	0	56
2	1	2	0	25
2	1	2	0	78
2	1	2	3	37
1	1	1	4	60
2	1	1	0	30
1	1	2	0	21
2	1	1	3	65
1	3	2	8	64
1	1	2	0	31
2	1	2	3	64
1	1	1	2	39
2	1	2	0	29
2	1	3	2	57
1	1	2	0	35
1	2	3	0	22
1	1	1	0	35
1	1	2	0	43
2	1	1	2	35
2	1	2	3	70
1	1	3	2	49
2	3	2	1	21
2	1	1	2	34
1	3	3	1	34
1	1	3	0	33
2	1	2	1	31
2	1	3	2	50
2	1	3	3	48
2	1	3	3	46
2	1	3	3	36
2	3	3	5	34
2	1	2	5	22
2	2	3	4	71
2	2	1	8	37
2	2	2	3	67
1	2	1	2	61
2	2	2	3	50
1	3	3	5	49
2	1	3	3	65
1	2	1	2	39
2	1	2	0	80
2	3	1	1	47
2	1	2	3	61
2	1	2	0	54
2	1	1	0	28
1	1	2	0	59
1	1	2	0	25
2	3	3	4	77
2	1	2	0	33
1	1	2	0	43
1	1	2	1	23
1	1	2	0	20
2	1	3	4	28
2	1	2	2	36
2	1	3	2	36
2	1	2	4	30
1	1	2	5	44
2	2	2	0	37
2	1	1	3	35
2	1	2	3	38
2	1	1	0	24
2	1	2	2	38
2	1	3	1	58
2	1	2	3	31
2	1	2	2	71
1	1	1	2	54
2	1	2	2	68
1	1	2	2	33
1	1	2	0	30
1	1	2	8	71
2	2	1	4	22
2	2	1	5	72
2	2	2	1	40
1	2	2	4	43
1	2	3	4	51
1	2	2	0	31
2	3	9	2	56
2	2	2	1	85
1	2	3	3	30
2	1	1	3	34
1	1	1	4	35
1	2	2	0	25
1	1	2	0	35
2	1	2	4	42
2	1	2	0	75
2	1	2	0	29
1	1	2	4	60
2	1	2	1	36
2	1	1	1	32
2	1	2	1	34
2	1	2	3	47
2	1	2	3	50
2	1	1	3	46
1	1	3	0	41
2	1	3	0	35
2	2	1	3	33
2	2	2	0	34
2	2	2	2	36
1	2	1	0	26
1	2	9	7	59
1	2	3	7	41
2	1	1	4	44
2	1	1	1	74
2	1	2	1	85
2	1	2	2	71
2	1	2	0	27
2	2	2	7	69
2	2	3	1	20
2	2	2	7	66
1	2	1	3	40
2	1	2	2	35
2	1	2	1	33
1	1	1	2	43
2	1	2	3	35
1	1	3	0	27
1	1	2	2	24
1	1	1	1	64
2	1	2	0	70
1	1	1	0	42
2	1	3	2	53
2	1	2	0	36
1	2	1	4	75
2	2	2	1	42
2	2	2	0	21
2	2	3	2	22
2	2	1	2	42
2	1	3	2	52
1	1	2	4	63
2	1	1	6	56
1	1	1	0	38
2	1	2	0	41
2	1	2	3	70
1	1	2	1	20
1	1	3	1	41
2	1	1	5	69
1	1	2	0	22
2	1	1	2	75
2	1	2	3	73
1	1	3	2	70
1	1	2	2	32
1	1	2	0	36
2	1	2	3	28
2	1	2	1	44
2	1	1	0	32
1	1	1	4	58
2	3	2	0	54
2	2	2	1	22
2	1	1	6	27
2	1	2	0	28
2	1	2	0	31
1	1	2	0	18
2	1	2	0	33
2	1	2	0	27
1	1	2	4	38
2	1	2	2	37
2	1	1	3	39
2	1	2	4	34
1	1	3	2	38
2	1	1	2	47
1	1	2	1	47
2	1	2	3	61
1	1	3	3	71
2	1	2	0	21
2	1	1	0	21
1	1	2	0	21
1	1	1	0	21
1	1	2	0	26
2	1	2	0	48
2	1	1	0	22
1	1	1	3	74
2	1	1	0	21
2	1	1	2	50
2	1	1	0	26
1	3	1	2	40
1	1	3	0	47
1	1	3	1	65
1	1	1	1	39
1	3	2	0	37
2	1	2	0	29
1	1	2	0	31
1	1	1	0	28
2	1	1	0	32
2	1	2	1	85
2	1	2	0	33
1	1	1	0	47
2	1	2	0	49
2	1	3	2	68
1	1	2	0	22
1	1	3	0	33
2	1	1	2	72
2	1	1	0	29
2	2	1	0	21
2	2	1	2	26
2	2	1	2	36
2	2	1	1	22
1	2	1	5	49
2	2	2	1	35
1	2	1	4	68
1	1	2	1	36
1	1	2	0	28
2	1	2	0	25
2	1	2	8	51
2	1	2	2	40
2	1	2	0	26
1	2	2	0	24
2	1	1	0	20
1	1	2	0	23
1	1	2	0	23
2	1	3	4	36
1	2	3	2	41
1	1	3	4	83
1	1	2	2	70
2	1	2	4	28
1	1	2	0	25
1	2	3	1	43
2	2	2	2	39
1	1	1	0	27
2	3	9	3	29
1	3	2	2	40
2	1	2	2	27
2	1	2	3	40
1	1	1	0	21
1	1	2	2	32
1	1	2	0	53
2	1	1	1	39
1	1	2	1	30
1	1	2	3	47
1	1	1	2	32
1	3	1	4	48
2	2	2	2	46
2	1	2	3	49
2	2	3	3	73
2	2	1	0	24
1	1	2	0	84
1	2	2	0	25
2	1	2	4	27
2	1	1	0	40
1	1	2	2	27
1	1	3	3	43
1	1	1	3	65
1	1	2	3	35
1	1	2	0	25
2	1	2	3	58
2	1	2	5	55
1	1	1	0	53
1	1	1	4	70
1	1	2	0	35
2	1	3	4	47
2	1	3	7	61
2	1	1	2	35
2	1	1	0	34
2	1	2	3	70
1	1	2	2	67
2	1	1	2	35
1	1	2	4	43
1	1	1	3	73
2	1	2	2	35
2	1	3	1	89
2	1	1	3	39
2	1	2	0	33
1	1	2	2	48
2	2	2	3	31
1	2	2	5	67
1	2	2	1	30
1	2	3	4	30
2	2	2	1	71
1	1	2	0	29
2	1	2	0	26
2	1	1	0	23
2	1	2	0	21
1	1	2	3	87
2	1	2	2	30
2	1	2	4	83
2	1	2	4	80
2	1	2	3	89
2	1	2	3	53
2	1	2	3	62
2	1	1	4	59
2	1	2	3	35
2	1	1	2	36
1	2	2	1	42
1	1	2	0	34
2	1	2	1	33
1	1	3	1	42
1	1	2	2	74
2	1	2	1	37
1	1	1	3	50
2	1	2	5	52
2	1	2	1	71
2	1	2	2	34
2	1	9	2	41
1	1	1	4	53
1	1	1	0	43
1	1	2	1	30
2	1	3	4	57
2	1	2	0	57
1	2	2	2	39
1	2	2	2	19
2	2	3	0	74
1	1	2	2	73
1	1	2	0	27
2	1	2	1	56
2	1	2	5	66
2	1	1	0	73
2	1	2	0	41
1	1	1	3	59
2	1	2	0	36
1	1	3	2	52
2	1	1	2	89
1	1	2	0	40
1	1	2	4	29
1	1	2	0	24
1	1	1	2	40
2	1	2	3	46
2	2	2	0	36
2	1	2	3	39
1	1	1	2	38
1	1	2	3	60
2	1	1	4	64
2	1	2	1	43
2	1	2	0	28
1	1	1	3	69
2	1	2	2	52
1	1	1	2	36
1	1	2	2	50
2	1	3	1	36
1	1	1	4	76
2	1	3	2	45
2	1	2	2	48
1	1	2	3	52
2	1	1	1	43
2	1	3	1	30
2	1	1	0	73
2	1	3	2	69
2	1	2	0	72
2	1	1	1	83
2	1	1	4	54
2	1	2	2	39
1	1	2	0	29
1	1	2	4	76
2	1	1	3	56
2	1	2	2	28
1	1	2	2	34
1	1	3	0	25
2	1	2	3	41
1	1	2	0	32
1	1	3	3	55
1	1	2	1	35
1	2	1	1	68
2	2	2	1	76
2	1	2	3	36
