DEPART	PUB	TIME	SALARY	SEX
1	16	3	56464.5817906425	1
1	25	7	92044.09152166	0
1	16	2	48980.1758443422	1
1	24	1	53239.1086040974	1
1	24	8	98948.3100647773	0
1	26	14	64782.1469772044	0
1	39	5	91652.4126238642	0
1	16	1	32833.4169206916	0
1	26	10	79231.1176622735	0
1	23	11	77154.2069627283	1
1	18	1	74912.9281513973	1
1	19	3	57149.585198891	0
1	20	9	62477.1587375708	0
1	21	11	80711.8579193101	1
1	36	6	58535.6033335414	1
1	16	4	48232.6614524948	0
1	8	3	45643.41327644	1
1	12	6	72206.4152698222	0
1	13	3	50433.6146073364	1
1	9	1	35860.9829681173	1
1	16	1	35656.7236946754	0
1	7	15	53884.1525057893	0
1	9	1	49438.1808084725	0
1	20	6	59316.9874432773	0
1	13	1	43496.1599067369	1
1	24	13	61775.4868121963	0
1	28	16	72228.8094154412	0
1	10	3	39445.6750428037	0
1	4	9	51121.8220743392	1
1	13	1	51945.0873683194	1
1	6	1	39167.2363448975	0
1	21	5	80601.4271361482	0
1	22	7	59795.2264981037	0
1	12	7	63399.6428261993	1
1	20	8	69444.664337774	1
1	22	5	76690.1641217993	0
1	16	4	57901.7958014727	0
1	29	4	84930.9435414393	0
1	8	17	54934.640678169	1
1	21	6	68916.2543053429	0
1	7	1	39977.8114500113	0
1	19	9	46163.5534723745	1
1	19	10	55440.6399291134	0
1	15	13	79081.1788932011	0
1	26	9	73131.4103426474	1
1	33	17	53698.8140201037	1
1	10	4	45970.1001330035	0
1	35	20	99854.0949519528	1
1	8	4	51299.8610521081	0
1	23	25	103068.777371093	1
1	23	5	34980.4630985254	0
1	24	6	76575.5629268729	1
1	17	5	56145.0966899352	0
1	32	14	87771.1073044378	0
1	26	10	69500.5264430141	1
1	29	4	70412.3902760691	0
1	9	1	30832.8398081965	0
1	13	1	54239.9448296836	1
1	24	10	53857.9405126344	1
1	19	9	65524.9780099558	0
2	5	7	80890.2207327626	0
2	17	9	70031.3327202541	0
2	15	14	59774.3720431976	1
2	10	7	81295.32613276	1
2	12	1	87337.3531483618	1
2	7	1	65551.7173730499	1
2	12	10	57797.8025934885	1
2	12	6	58553.8115273848	1
2	9	7	66957.6545922527	0
2	17	16	80660.7712927731	1
2	7	18	86050.3015621546	1
2	15	14	73006.4580571566	0
2	24	17	86545.2419890594	0
2	22	7	50289.8610748293	1
2	13	13	102464.354898661	0
2	17	7	49294.1125895414	1
2	24	11	42572.0362931309	0
2	20	5	89962.036308389	0
2	8	17	64195.5609936651	1
2	20	5	67385.9118812293	0
2	13	1	42661.8957598669	1
2	17	11	69504.2113034097	0
2	23	1	97803.8541862968	0
2	14	7	36445.6735053544	1
2	19	12	70340.3007099214	1
2	23	4	47571.9509280998	0
2	22	5	57242.7397034053	0
2	15	10	37034.3523137969	0
2	15	5	70071.2058007282	1
2	16	14	55491.0265743366	1
2	11	6	57337.9293307446	0
2	18	12	84725.1325406554	1
2	11	15	71985.9548832296	1
2	21	1	44971.7519871287	0
2	15	1	53048.2807432171	1
2	5	7	54378.4703255143	1
2	20	1	49097.4318848808	1
2	19	10	69946.3480010808	0
2	4	6	37743.4790078142	1
2	20	15	89198.4742427695	1
2	26	11	92873.1485704732	0
2	13	7	90179.2392871568	1
2	11	12	58065.1032947982	0
2	13	2	68711.7744895666	1
3	11	19	74283.7504265193	0
3	10	13	72762.7505373951	0
3	1	9	49800.4087495758	0
3	3	11	77742.1625671347	0
3	17	5	59214.2044232406	1
3	8	11	81452.6113384405	1
3	10	2	60263.3905957485	0
3	17	6	43302.7448482778	1
3	16	16	77979.8018083249	1
3	7	10	85582.0497342388	0
3	10	1	73446.399445321	0
3	6	9	64567.5077812515	1
3	23	15	58328.6385646917	1
3	8	9	42404.7986636515	0
3	6	4	32994.8689365652	1
3	15	15	90798.4124311956	1
3	19	16	78689.6900673098	1
3	1	4	74517.3240709161	0
3	14	13	50795.5421411648	1
3	16	5	46604.6140608087	1
3	15	17	55886.1748453216	0
3	14	9	61987.0565371972	1
3	17	7	66153.0738056678	1
3	11	11	63038.4481789734	1
3	12	6	50817.2209236027	1
3	7	14	108452.607770311	0
3	7	13	71462.611064821	1
3	4	1	41489.3185277913	1
3	16	3	70599.1343329002	0
3	12	20	63113.9194861753	0
3	17	15	77228.3815467658	0
3	9	10	75314.6637286336	0
3	19	8	83584.9183683144	0
3	19	6	75709.7919531072	1
3	1	9	64998.4031422573	1
3	6	10	41709.8352317034	1
3	18	12	58435.6098951746	1
3	15	16	86327.4232812656	1
3	17	4	52947.2004588619	0
3	6	9	54231.0361253476	1
3	7	1	38238.504295933	1
3	10	7	79745.0696500797	0
3	16	8	54783.4889678346	0
3	1	7	64257.7125320017	0
3	1	1	48427.0275227263	0
3	19	12	82647.4103965363	1
