Name,Age,country,Time
Geoffrey Kamworor,M24,KEN,2:10:53
Wilson Kipsang,M35,KEN,2:10:56
Lelisa Desisa,M27,ETH,2:11:32
Lemi Berhanu,M22,ETH,2:11:52
Tadesse Abraham,M35,SUI,2:12:01
Michel Butter,M32,NED,2:12:39
Abdi Abdirahman,M40,USA,2:12:48
Koen Naert,M28,BEL,2:13:21
Fikadu Girma Teferi,M24,ETH,2:13:58
Shadrack Biwott,M32,USA,2:14:57
Meb Keflezighi,M42,USA,2:15:29
Jared Ward,M29,USA,2:18:39
Senbeto Geneti Guteta,M24,ETH,2:20:29
Birhanu Dare Kemal,M31,ETH,2:21:30
Brendan Martin,M28,USA,2:22:36
Harbert Okuti,M32,UGA,2:22:46
John Metui,M26,KEN,2:23:40
Girma Segni,M32,ETH,2:23:51
Francesco Puppi,M25,ITA,2:25:35
Shalane Flanagan,F36,USA,2:26:53
Peter le Grice,M30,GBR,2:27:11
Abu Kebede Diriba,M30,ETH,2:27:25
Doriano Bussolotto,M36,ITA,2:27:41
Mary Keitany,F35,KEN,2:27:54
Alberto Mosca,M39,ITA,2:28:07
Mamitu Daska,F34,ETH,2:28:08
Enzo Yanez Jhonson,M32,CHI,2:28:17
Jordan Tropf,M25,USA,2:28:19
Matt Lenehan,M26,USA,2:28:26
Fredrik Uhrbom,M40,SWE,2:28:42
Benjamin Mears,M28,USA,2:29:12
Edna Kiplagat,F38,KEN,2:29:36
Allie Kieffer,F30,USA,2:29:39
Sara Dossena,F32,ITA,2:29:39
Luc Schout,M30,NED,2:29:41
Eva Vrabcova,F31,CZE,2:29:41
Wojciech Kopec,M31,POL,2:29:47
Kellyn Taylor,F31,USA,2:29:56
Asier Cuevas,M44,ESP,2:30:00
David Saunders,M33,USA,2:30:05
Jake Kasperski,M26,USA,2:30:06
Suleman Abrar Shifa,M24,ETH,2:30:26
Agustin Moreno,M32,ESP,2:30:28
Kyle Larson,M27,USA,2:30:51
Rafael Oliveira,M37,POR,2:31:03
Gambino Salvatore,M37,ITA,2:31:12
Diane Nukuri,F32,BDI,2:31:21
Mark Sidebottom,M26,USA,2:31:24
Lane Boyer,M28,USA,2:31:26
Broderick Gann,M31,USA,2:31:33
Phillip Falk,M33,USA,2:31:39
Stephanie Bruce,F33,USA,2:31:44
Logan Sherman,M31,USA,2:31:47
Karl Augsten,M26,CAN,2:31:51
Matthew Farkas,M27,USA,2:31:52
Luigi Vivian,M43,ITA,2:31:59
Buzunesh Deba,F30,ETH,2:32:01
Christelle Daunay,F42,FRA,2:32:09
Mohammed El Yamani,M53,FRA,2:32:30
Gishu Dida Maco,M35,ETH,2:32:46
Jann Post,M37,NOR,2:32:53
Brent Woodle,M32,USA,2:32:55
Joseph Schnitter,M24,USA,2:33:05
John Campagna,M25,USA,2:33:08
Massi Milani,M45,ITA,2:33:15
Glenn Lastennet,M32,FRA,2:33:18
Aliphine Tuliamuk,F28,USA,2:33:18
Ole Kristian Heggheim,M45,NOR,2:33:25
Fredison Costa,M40,BRA,2:33:44
Andrea Fraquelli,M33,GBR,2:33:45
Ben Leese,M37,USA,2:34:03
Emma Quaglia,F37,ITA,2:34:10
Hugh Parker,M27,USA,2:34:15
Zachary Meineke,M29,USA,2:34:22
Aaron Woodman,M32,GBR,2:34:23
Serkalem Biset Abrha,F30,ETH,2:34:23
Marco Quaglia,M39,ITA,2:34:30
Greg Hutson,M31,USA,2:34:38
Recio Alvarez,M38,DOM,2:34:39
David Roeske,M36,USA,2:35:16
Yuji Wakimoto,M25,JPN,2:35:16
Brendon O'Leary,M35,USA,2:35:27
Daniel Wallace-Periac,M30,USA,2:35:30
Daniel Kittaka,M29,USA,2:35:41
Domenico la Banca,M33,ITA,2:35:48
Trond Smedsrud,M35,NOR,2:36:06
Matthew Richards,M30,GBR,2:36:23
Andrew Fenske,M25,USA,2:36:27
Joe Viavattine,M22,USA,2:36:37
Josh Baden,M28,USA,2:36:37
Askale Merachi,F30,ETH,2:36:38
Hans Larsson,M35,SWE,2:36:43
Julien Galot,M33,FRA,2:36:45
Knox Robinson,M42,USA,2:36:46
Brent Frissora,M33,USA,2:36:48
Ryan Millar,M26,USA,2:36:49
Christopher Petroff,M24,USA,2:36:57
Ed Waller,M30,GBR,2:37:15
Ross Bain,M37,CAN,2:37:15
Stephen Garner,M28,USA,2:37:18
