"","Name","Film","Age","Gender","Year","US"
"1","Jannings, EmilEmil Jannings","The Way of All Flesh and The Last CommandThe Last Command,The Way of All Flesh",44,"Male",1929,0
"2","Baxter, WarnerWarner Baxter","In Old ArizonaIn Old Arizona",41,"Male",1930,1
"3","Arliss, GeorgeGeorge Arliss","DisraeliDisraeli",62,"Male",1930,0
"4","Barrymore, LionelLionel Barrymore","Free SoulA Free Soul",53,"Male",1931,1
"5","Beery, WallaceWallace Beery","ChampThe Champ",47,"Male",1932,1
"6","March, FredricFredric March","Dr Jekyll and Mr. HydeDr. Jekyll and Mr. Hyde",35,"Male",1932,1
"7","Laughton, CharlesCharles Laughton","Private Life Of Henry 8The Private Life of Henry VIII",34,"Male",1934,0
"8","Gable, ClarkClark Gable","It Happened One NightIt Happened One Night",34,"Male",1935,1
"9","Mclaglen, VictorVictor McLaglen","InformerThe Informer",49,"Male",1936,0
"10","Muni, PaulPaul Muni","Story Of Louis PasteurThe Story of Louis Pasteur",41,"Male",1937,1
"11","Tracy, SpencerSpencer Tracy","Captains CourageousCaptains Courageous",37,"Male",1938,1
"12","Tracy, SpencerSpencer Tracy","Boys TownBoys Town",38,"Male",1939,1
"13","Donat, RobertRobert Donat","Goodbye Mr ChipsGoodbye, Mr. Chips",34,"Male",1940,0
"14","Stewart, JamesJames Stewart","Philadelphia StoryThe Philadelphia Story",32,"Male",1941,1
"15","Cooper, GaryGary Cooper","Sergeant YorkSergeant York",40,"Male",1942,1
"16","Cagney, JamesJames Cagney","Yankee Doodle DandyYankee Doodle Dandy",43,"Male",1943,1
"17","Lukas, PaulPaul Lukas","Watch On The RhineWatch on the Rhine",48,"Male",1944,0
"18","Crosby, BingBing Crosby","Going My WayGoing My Way",41,"Male",1945,1
"19","Milland, RayRay Milland","Lost WeekendThe Lost Weekend",39,"Male",1946,0
"20","March, FredricFredric March","Best Years Of Our LivesThe Best Years of Our Lives",49,"Male",1947,1
"21","Colman, RonaldRonald Colman","Double LifeA Double Life",57,"Male",1948,0
"22","Olivier, LaurenceLaurence Olivier","HamletHamlet",41,"Male",1949,0
"23","Crawford, BroderickBroderick Crawford","All The Kings MenAll the King's Men",38,"Male",1950,1
"24","Ferrer, JoseJosé Ferrer","Cyrano De BergeracCyrano de Bergerac",39,"Male",1951,1
"25","Bogart, HumphreyHumphrey Bogart","African QueenThe African Queen",52,"Male",1952,1
"26","Cooper, GaryGary Cooper","High NoonHigh Noon",51,"Male",1953,1
"27","Holden, WilliamWilliam Holden","Stalag 17Stalag 17",35,"Male",1954,1
"28","Brando, MarlonMarlon Brando","On The WaterfrontOn the Waterfront",30,"Male",1955,1
"29","Borgnine, ErnestErnest Borgnine","MartyMarty",39,"Male",1956,1
"30","Brynner, YulYul Brynner","King And IThe King and I",36,"Male",1957,0
"31","Guinness, AlecAlec Guinness","Bridge On The River KwaiThe Bridge on the River Kwai",43,"Male",1958,0
"32","Niven, DavidDavid Niven","Separate TablesSeparate Tables",49,"Male",1959,0
"33","Heston, CharltonCharlton Heston","Ben-HurBen-Hur",36,"Male",1960,1
"34","Lancaster, BurtBurt Lancaster","Elmer GantryElmer Gantry",47,"Male",1961,1
"35","Schell, MaximilianMaximilian Schell","Judgment At NurembergJudgment at Nuremberg",31,"Male",1962,0
"36","Peck, GregoryGregory Peck","To Kill A MockingbirdTo Kill a Mockingbird",47,"Male",1963,1
"37","Poitier, SidneySidney Poitier","Lilies Of The FieldLilies of the Field",37,"Male",1964,1
"38","Harrison, RexRex Harrison","My Fair LadyMy Fair Lady",57,"Male",1965,0
"39","Marvin, LeeLee Marvin","Cat BallouCat Ballou",42,"Male",1966,1
"40","Scofield, PaulPaul Scofield","Man For All SeasonsA Man for All Seasons",45,"Male",1967,0
"41","Steiger, RodRod Steiger","In The Heat Of The NightIn the Heat of the Night",42,"Male",1968,1
"42","Robertson, CliffCliff Robertson","CharlyCharly",45,"Male",1969,1
"43","Wayne, JohnJohn Wayne","True GritTrue Grit",62,"Male",1970,1
"44","Scott, GeorgeGeorge C. Scott","PattonPatton",43,"Male",1971,1
"45","Hackman, GeneGene Hackman","French ConnectionThe French Connection",42,"Male",1972,1
"46","Brando, MarlonMarlon Brando","GodfatherThe Godfather",48,"Male",1973,1
