"Var1","Freq"
"2016-01-01",1189
"2016-01-02",593
"2016-01-03",667
"2016-01-04",218
"2016-01-05",184
"2016-01-06",204
"2016-01-07",213
"2016-01-08",340
"2016-01-09",712
"2016-01-10",612
"2016-01-11",195
"2016-01-12",186
"2016-01-13",165
"2016-01-14",220
"2016-01-15",362
"2016-01-16",709
"2016-01-17",723
"2016-01-18",252
"2016-01-19",163
"2016-01-20",193
"2016-01-21",226
"2016-01-22",341
"2016-01-23",435
"2016-01-24",301
"2016-01-25",218
"2016-01-26",182
"2016-01-27",262
"2016-01-28",239
"2016-01-29",398
"2016-01-30",724
"2016-01-31",745
"2016-02-01",239
"2016-02-02",215
"2016-02-03",207
"2016-02-04",280
"2016-02-05",378
"2016-02-06",684
"2016-02-07",810
"2016-02-08",284
"2016-02-09",160
"2016-02-10",214
"2016-02-11",141
"2016-02-12",398
"2016-02-13",587
"2016-02-14",653
"2016-02-15",318
"2016-02-16",205
"2016-02-17",259
"2016-02-18",240
"2016-02-19",376
"2016-02-20",727
"2016-02-21",778
"2016-02-22",247
"2016-02-23",178
"2016-02-24",180
"2016-02-25",225
"2016-02-26",337
"2016-02-27",722
"2016-02-28",728
"2016-02-29",207
"2016-03-01",201
"2016-03-02",189
"2016-03-03",202
"2016-03-04",335
"2016-03-05",743
"2016-03-06",752
"2016-03-07",269
"2016-03-08",246
"2016-03-09",421
"2016-03-10",485
"2016-03-11",537
"2016-03-12",958
"2016-03-13",878
"2016-03-14",218
"2016-03-15",235
"2016-03-16",281
"2016-03-17",336
"2016-03-18",392
"2016-03-19",880
"2016-03-20",751
"2016-03-21",215
"2016-03-22",246
"2016-03-23",419
"2016-03-24",386
"2016-03-25",567
"2016-03-26",901
"2016-03-27",875
"2016-03-28",220
"2016-03-29",212
"2016-03-30",229
"2016-03-31",301
"2016-04-01",634
"2016-04-02",1028
"2016-04-03",789
"2016-04-04",214
"2016-04-05",233
"2016-04-06",251
"2016-04-07",298
"2016-04-08",436
"2016-04-09",815
"2016-04-10",757
"2016-04-11",266
"2016-04-12",263
"2016-04-13",267
"2016-04-14",341
"2016-04-15",557
"2016-04-16",1046
"2016-04-17",1335
"2016-04-18",454
"2016-04-19",428
"2016-04-20",313
"2016-04-21",371
"2016-04-22",801
"2016-04-23",1246
"2016-04-24",1223
"2016-04-25",427
"2016-04-26",341
"2016-04-27",380
"2016-04-28",393
"2016-04-29",501
"2016-04-30",1310
"2016-05-01",1043
"2016-05-02",254
"2016-05-03",314
"2016-05-04",284
"2016-05-05",447
"2016-05-06",511
"2016-05-07",1377
"2016-05-08",1445
"2016-05-09",396
"2016-05-10",363
"2016-05-11",538
"2016-05-12",594
"2016-05-13",603
"2016-05-14",1562
"2016-05-15",1196
"2016-05-16",344
"2016-05-17",351
"2016-05-18",353
"2016-05-19",517
"2016-05-20",1045
"2016-05-21",1574
