G3.y,sex,Medu,Fedu
13,F,1,1
11,F,1,1
12,F,2,2
10,F,2,4
13,F,3,3
12,F,3,4
12,F,3,4
11,F,2,2
15,F,3,1
10,F,3,3
15,F,4,3
13,F,1,1
12,F,1,1
12,F,1,1
13,F,1,2
14,F,1,2
13,F,2,1
10,F,2,2
11,F,2,3
11,F,3,2
10,F,3,2
14,F,4,2
15,F,4,2
13,F,4,3
15,F,4,4
12,F,4,4
12,F,4,4
12,F,4,4
14,F,4,4
13,F,4,4
14,F,4,4
13,F,3,3
11,F,3,4
11,F,4,3
12,F,1,1
11,F,3,2
16,F,4,2
12,F,4,3
13,F,2,2
11,F,3,3
16,F,4,4
12,F,2,1
13,F,2,2
12,F,3,1
10,F,3,3
14,F,3,4
13,F,1,1
16,F,1,1
13,F,1,3
12,F,2,1
10,F,2,1
10,F,2,2
13,F,2,2
11,F,2,2
13,F,2,2
14,F,2,2
12,F,2,2
12,F,2,3
13,F,2,3
14,F,2,3
10,F,3,1
16,F,3,2
13,F,3,3
11,F,3,3
14,F,3,3
11,F,3,3
11,F,3,4
18,F,4,2
16,F,4,2
14,F,4,2
15,F,4,3
13,F,4,3
13,F,4,3
15,F,4,3
17,F,4,4
17,F,4,4
13,F,4,4
14,F,4,4
16,F,4,4
13,F,3,3
11,F,1,1
10,F,1,2
11,F,2,2
11,F,2,2
10,F,2,2
13,F,2,2
13,F,2,4
12,F,3,1
15,F,3,3
16,F,4,3
14,F,4,4
11,F,4,4
16,F,3,2
13,F,2,1
11,F,2,1
13,F,2,2
15,F,2,4
17,F,3,4
12,F,4,3
10,F,2,2
19,F,3,1
11,F,4,4
16,F,2,1
14,F,2,2
14,F,3,3
17,F,4,3
13,F,4,4
11,F,1,1
12,F,1,1
12,F,1,1
15,F,1,1
14,F,1,1
13,F,2,2
14,F,2,2
13,F,2,2
13,F,2,3
16,F,2,4
17,F,2,4
17,F,3,1
18,F,3,2
17,F,3,2
15,F,3,2
13,F,3,3
8,F,3,4
14,F,3,4
16,F,4,2
13,F,4,3
18,F,4,3
10,F,4,3
13,F,4,4
16,F,4,4
12,F,4,4
13,F,4,4
15,F,4,4
15,F,0,2
12,F,2,2
12,F,2,2
12,F,2,2
16,F,2,4
15,F,3,2
14,F,3,3
17,F,4,2
12,F,4,3
10,F,3,2
11,F,1,1
10,F,2,1
14,F,2,2
8,F,3,1
12,F,4,4
18,F,1,1
11,F,4,4
13,F,1,1
14,F,1,1
11,F,2,1
15,F,2,1
18,F,2,2
13,F,2,2
14,F,2,3
16,F,2,3
17,F,3,2
12,F,3,3
17,F,4,3
17,F,4,3
15,F,4,3
13,F,4,4
13,F,4,4
15,F,4,4
13,F,1,1
12,F,2,2
15,F,3,3
14,F,4,3
11,F,0,1
12,F,3,3
12,F,3,3
13,F,4,4
10,M,2,1
8,M,2,3
11,M,3,4
15,M,4,3
11,M,4,4
15,M,2,2
16,M,3,4
12,M,4,4
12,M,2,2
10,M,2,2
13,M,2,2
9,M,2,3
12,M,2,3
13,M,3,4
14,M,3,4
9,M,3,4
11,M,4,0
11,M,4,2
10,M,4,2
13,M,4,2
13,M,4,3
11,M,4,3
14,M,4,3
11,M,4,3
12,M,4,4
11,M,4,4
16,M,4,4
12,M,4,4
15,M,4,4
15,M,4,4
16,M,4,4
11,M,2,1
17,M,3,2
9,M,4,2
14,M,4,4
14,M,1,2
12,M,2,2
13,M,2,2
12,M,3,3
18,M,4,2
14,M,4,3
12,M,4,4
11,M,4,4
13,M,4,4
12,M,2,1
11,M,2,2
10,M,3,3
11,M,4,2
11,M,4,3
15,M,4,4
12,M,3,3
11,M,0,2
18,M,1,0
11,M,1,2
16,M,2,1
11,M,2,2
11,M,2,2
12,M,2,3
14,M,3,1
11,M,3,1
12,M,3,2
12,M,3,2
10,M,3,3
1,M,3,3
15,M,3,3
14,M,3,3
13,M,3,3
14,M,3,3
13,M,3,3
10,M,3,4
17,M,4,3
11,M,4,3
13,M,4,4
14,M,4,4
15,M,4,4
13,M,4,4
8,M,4,4
16,M,4,4
14,M,4,4
8,M,4,4
14,M,4,4
8,M,4,4
12,M,4,4
13,M,3,4
10,M,4,4
9,M,1,1
10,M,1,1
10,M,2,1
16,M,2,1
13,M,2,2
10,M,2,2
11,M,2,2
14,M,4,2
12,M,4,3
13,M,4,3
15,M,4,3
18,M,1,2
10,M,1,2
11,M,1,3
13,M,2,1
13,M,2,2
10,M,2,2
10,M,3,4
12,M,4,4
8,M,1,1
10,M,1,2
9,M,2,1
12,M,1,1
12,M,1,2
10,M,2,1
6,M,2,1
10,M,2,1
6,M,2,1
13,M,2,3
14,M,3,1
7,M,3,2
15,M,3,3
10,M,3,3
17,M,3,3
14,M,3,3
13,M,4,3
14,M,4,4
13,M,4,4
13,M,3,2
10,M,4,1
10,M,1,1
16,M,2,2
11,M,2,3
15,M,4,3
11,M,4,3
13,M,4,4
12,M,4,4
10,M,4,4
12,M,3,2
17,M,4,3
16,M,3,4
15,M,3,2
10,M,3,3
16,M,2,1
6,M,2,1
15,M,2,1
10,M,2,2
8,M,2,2
11,M,2,2
7,M,3,2
14,M,4,2
16,M,4,2
11,M,4,3
14,M,4,3
13,M,4,4
13,M,4,4
12,M,4,4
13,M,4,4
12,M,4,4
17,M,4,4
0,M,1,1
11,M,2,1
12,M,2,2
10,M,3,3
17,M,3,4
10,M,4,3
17,M,4,4
11,M,3,3
11,M,3,2
14,M,4,3
15,M,3,2
5,M,3,1
9,F,1,1
9,F,1,2
13,F,1,2
9,F,3,1
12,F,4,4
12,F,2,2
15,F,3,2
15,F,4,4
12,F,1,1
15,F,2,2
0,F,4,4
10,F,4,4
17,F,4,4
14,F,4,4
7,F,1,1
9,F,1,1
10,F,2,3
16,F,3,3
10,F,3,3
13,F,3,3
18,F,1,1
16,F,3,1
10,F,2,3
11,M,4,3
16,M,2,3
10,M,3,3
10,M,3,1
9,M,1,3
0,M,2,1
11,M,3,2
0,M,4,2
10,M,1,2
11,M,3,2
19,M,4,4
14,M,1,1
9,M,1,3
16,M,4,4
10,M,1,1
11,M,1,1
0,M,1,1
