Year,Australian.Open,French.Open,Wimbledon,US.Open
1877,started in 1905,started in 1891,Spencer Gore,started in 1881
1878,tournament not created,tournament not created,Frank Hadow,tournament not created
1879,tournament not created,tournament not created,John Hartley (1/2),tournament not created
1880,tournament not created,tournament not created,John Hartley (2/2),tournament not created
1881,tournament not created,tournament not created,William Renshaw (1/7),Richard Sears (1/7)
1882,tournament not created,tournament not created,William Renshaw (2/7),Richard Sears (2/7)
1883,tournament not created,tournament not created,William Renshaw (3/7),Richard Sears (3/7)
1884,tournament not created,tournament not created,William Renshaw (4/7),Richard Sears (4/7)
1885,tournament not created,tournament not created,William Renshaw (5/7),Richard Sears (5/7)
1886,tournament not created,tournament not created,William Renshaw (6/7),Richard Sears (6/7)
1887,tournament not created,tournament not created,Herbert Lawford,Richard Sears (7/7)
1888,tournament not created,tournament not created,Ernest Renshaw,Henry Slocum (1/2)
1889,tournament not created,tournament not created,William Renshaw (7/7),Henry Slocum (2/2)
1890,tournament not created,tournament not created,Willoughby Hamilton,Oliver Campbell (1/3)
1891,tournament not created,H. Briggs *,Wilfred Baddeley (1/3),Oliver Campbell (2/3)
1892,tournament not created,Jean Schopfer *,Wilfred Baddeley (2/3),Oliver Campbell (3/3)
1893,tournament not created,Laurent Riboulet *,Joshua Pim (1/2),Robert Wrenn (1/4)
1894,tournament not created,André Vacherot *,Joshua Pim (2/2),Robert Wrenn (2/4)
1895,tournament not created,André Vacherot *,Wilfred Baddeley (3/3),Fred Hovey
1896,tournament not created,André Vacherot *,Harold Mahony,Robert Wrenn (3/4)
1897,tournament not created,Paul Aymé *,Reginald Doherty (1/4),Robert Wrenn (4/4)
1898,tournament not created,Paul Aymé *,Reginald Doherty (2/4),Malcolm Whitman (1/3)
1899,tournament not created,Paul Aymé *,Reginald Doherty (3/4),Malcolm Whitman (2/3)
1900,tournament not created,Paul Aymé *,Reginald Doherty (4/4),Malcolm Whitman (3/3)
1901,tournament not created,André Vacherot *,Arthur Gore (1/3),William Larned (1/7)
1902,tournament not created,Michel Vacherot *,Laurence Doherty (1/6),William Larned (2/7)
1903,tournament not created,Max Decugis *,Laurence Doherty (2/6),Laurence Doherty (3/6)
1904,tournament not created,Max Decugis *,Laurence Doherty (4/6),Holcombe Ward
1905,Rodney Heath (1/2),Maurice Germot *,Laurence Doherty (5/6),Beals Wright
1906,Anthony Wilding (1/6),Maurice Germot *,Laurence Doherty (6/6),William Clothier
1907,Horace Rice,Max Decugis *,Norman Brookes (1/3),William Larned (3/7)
1908,Fred Alexander,Max Decugis *,Arthur Gore (2/3),William Larned (4/7)
1909,Anthony Wilding (2/6),Max Decugis *,Arthur Gore (3/3),William Larned (5/7)
1910,Rodney Heath (2/2),Maurice Germot *,Anthony Wilding (3/6),William Larned (6/7)
1911,Norman Brookes (2/3),André Gobert *,Anthony Wilding (4/6),William Larned (7/7)
1912,James Cecil Parke,Max Decugis *,Anthony Wilding (5/6),Maurice McLoughlin (1/2)
1913,Ernie Parker,Max Decugis *,Anthony Wilding (6/6),Maurice McLoughlin (2/2)
1914,Arthur O'Hara Wood,Max Decugis *,Norman Brookes (3/3),Richard Williams (1/2)
1915,Francis Lowe,World War I,World War I,William Johnston (1/3)
1916,World War I,World War I,World War I,Richard Williams (2/2)
1917,World War I,World War I,World War I,Robert Lindley Murray (1/2)
1918,World War I,World War I,World War I,Robert Lindley Murray (2/2)
1919,Algernon Kingscote †,World War I,Gerald Patterson (1/3),William Johnston (2/3)
1920,Pat O'Hara Wood (1/2),André Gobert *,Bill Tilden (1/10),Bill Tilden (2/10)
1921,Rhys Gemmell,Jean Samazeuilh *,Bill Tilden (3/10),Bill Tilden (4/10)
1922,James Anderson (1/3),Henri Cochet *,Gerald Patterson (2/3),Bill Tilden (5/10)
1923,Pat O'Hara Wood (2/2) ††,François Blanchy *,William Johnston (3/3),Bill Tilden (6/10)
1924,James Anderson (2/3),Jean Borotra *,Jean Borotra (1/4),Bill Tilden (7/10)
1925,James Anderson (3/3),René Lacoste (1/7) **,René Lacoste (2/7),Bill Tilden (8/10)
1926,John Hawkes,Henri Cochet (1/7),Jean Borotra (2/4),René Lacoste (3/7)
1927,Gerald Patterson (3/3)†††,René Lacoste (4/7),Henri Cochet (2/7),René Lacoste (5/7)
1928,Jean Borotra (3/4),Henri Cochet (3/7),René Lacoste (6/7),Henri Cochet (4/7)
1929,John Gregory,René Lacoste (7/7),Henri Cochet (5/7),Bill Tilden (9/10)
1930,Edgar Moon,Henri Cochet (6/7),Bill Tilden (10/10),John Doeg
1931,Jack Crawford (1/6),Jean Borotra (4/4),Sidney Wood,Ellsworth Vines (1/3)
1932,Jack Crawford (2/6),Henri Cochet (7/7),Ellsworth Vines (2/3),Ellsworth Vines (3/3)
1933,Jack Crawford (3/6),Jack Crawford (4/6),Jack Crawford (5/6),Fred Perry (1/8)
1934,Fred Perry (2/8),Gottfried von Cramm (1/2),Fred Perry (3/8),Fred Perry (4/8)
1935,Jack Crawford (6/6),Fred Perry (5/8),Fred Perry (6/8),Wilmer Allison
1936,Adrian Quist (1/3),Gottfried von Cramm (2/2),Fred Perry (7/8),Fred Perry (8/8)
1937,Vivian McGrath,Henner Henkel,Don Budge (1/6),Don Budge (2/6)
1938,Don Budge (3/6),Don Budge (4/6),Don Budge (5/6),Don Budge (6/6)
1939,John Bromwich (1/2),Don McNeill (1/2),Bobby Riggs (1/3),Bobby Riggs (2/3)
1940,Adrian Quist (2/3),Tournament canceled,World War II,Don McNeill (2/2)
1941,World War II,France held under German occupation***,World War II,Bobby Riggs (3/3)
1942,World War II,France held under German occupation***,World War II,Ted Schroeder (1/2)
1943,World War II,France held under German occupation***,World War II,Joseph Hunt
1944,World War II,France held under German occupation***,World War II,Frank Parker (1/4)
1945,World War II,Yvon Petra (unrecognized)***,World War II,Frank Parker (2/4)
1946,John Bromwich (2/2),Marcel Bernard,Yvon Petra,Jack Kramer (1/3)
1947,Dinny Pails,József Asbóth,Jack Kramer (2/3),Jack Kramer (3/3)
1948,Adrian Quist (3/3),Frank Parker (3/4),Bob Falkenburg,Pancho Gonzales (1/2)
1949,Frank Sedgman (1/5),Frank Parker (4/4),Ted Schroeder (2/2),Pancho Gonzales (2/2)
1950,Frank Sedgman (2/5),Budge Patty (1/2),Budge Patty (2/2),Arthur Larsen
1951,Richard Savitt (1/2),Jaroslav Drobný (1/3),Richard Savitt (2/2),Frank Sedgman (3/5)
1952,Ken McGregor,Jaroslav Drobný (2/3),Frank Sedgman (4/5),Frank Sedgman (5/5)
1953,Ken Rosewall (1/8),Ken Rosewall (2/8),Vic Seixas (1/2),Tony Trabert (1/5)
1954,Mervyn Rose (1/2),Tony Trabert (2/5),Jaroslav Drobný (3/3),Vic Seixas (2/2)
1955,Ken Rosewall (3/8),Tony Trabert (3/5),Tony Trabert (4/5),Tony Trabert (5/5)
1956,Lew Hoad (1/4),Lew Hoad (2/4),Lew Hoad (3/4),Ken Rosewall (4/8)
1957,Ashley Cooper (1/4),Sven Davidson,Lew Hoad (4/4),Malcolm Anderson
1958,Ashley Cooper (2/4),Mervyn Rose (2/2),Ashley Cooper (3/4),Ashley Cooper (4/4)
